CurrentAlcoholUse,HowMuchDoYouWeighWithoutShoesInKG,Alcohol_Binary
2.0,61.24,1
2.0,81.65,1
1.0,72.58,0
1.0,56.7,0
3.0,58.06,1
1.0,54.43,0
3.0,53.52,1
1.0,81.19,0
1.0,77.11,0
2.0,67.59,1
2.0,67.13,1
2.0,51.71,1
2.0,90.72,1
1.0,63.5,0
5.0,57.15,1
4.0,66.68,1
7.0,86.18,1
2.0,95.71,1
3.0,93.44,1
3.0,63.5,1
1.0,83.92,0
2.0,53.07,1
2.0,69.85,1
3.0,86.18,1
1.0,54.43,0
1.0,64.86,0
1.0,86.18,0
1.0,47.63,0
1.0,92.08,0
1.0,79.38,0
4.0,86.18,1
3.0,56.7,1
1.0,68.49,0
5.0,69.85,1
1.0,63.5,0
2.0,58.97,1
1.0,82.1,0
1.0,98.43,0
2.0,72.58,1
1.0,65.77,0
1.0,54.43,0
3.0,52.16,1
1.0,54.43,0
2.0,58.97,1
1.0,97.98,0
1.0,90.72,0
2.0,56.7,1
2.0,70.31,1
3.0,112.49,1
1.0,54.43,0
2.0,63.5,1
1.0,65.77,0
2.0,81.65,1
1.0,81.65,0
1.0,53.52,0
2.0,59.88,1
3.0,65.77,1
1.0,62.6,0
2.0,45.36,1
1.0,170.1,0
4.0,111.13,1
1.0,80.29,0
3.0,95.26,1
5.0,90.72,1
2.0,81.65,1
2.0,65.77,1
1.0,64.41,0
1.0,72.58,0
1.0,86.18,0
1.0,72.58,0
1.0,68.04,0
1.0,83.92,0
1.0,58.06,0
1.0,53.07,0
1.0,52.16,0
1.0,58.97,0
1.0,58.97,0
4.0,58.06,1
2.0,68.95,1
1.0,54.43,0
1.0,112.04,0
2.0,49.9,1
2.0,70.31,1
1.0,58.97,0
2.0,53.52,1
1.0,49.9,0
2.0,71.67,1
1.0,84.37,0
2.0,68.04,1
2.0,60.33,1
5.0,97.07,1
5.0,63.5,1
1.0,68.04,0
1.0,113.4,0
6.0,81.65,1
5.0,81.65,1
5.0,102.06,1
5.0,73.94,1
1.0,55.34,0
3.0,68.95,1
2.0,114.76,1
4.0,73.03,1
1.0,108.86,0
2.0,74.39,1
7.0,65.32,1
1.0,72.58,0
3.0,118.39,1
2.0,70.31,1
1.0,52.16,0
1.0,63.5,0
2.0,108.86,1
2.0,70.31,1
4.0,60.78,1
1.0,65.77,0
1.0,64.86,0
1.0,65.77,0
1.0,98.88,0
1.0,49.9,0
7.0,58.97,1
1.0,90.27,0
1.0,83.92,0
1.0,58.97,0
1.0,68.04,0
1.0,64.41,0
3.0,63.5,1
1.0,139.26,0
1.0,63.5,0
1.0,70.76,0
1.0,54.43,0
2.0,86.18,1
1.0,83.92,0
5.0,106.6,1
4.0,76.2,1
4.0,117.94,1
2.0,83.92,1
2.0,62.6,1
2.0,72.58,1
2.0,54.43,1
3.0,62.14,1
4.0,84.82,1
3.0,77.11,1
1.0,68.04,0
1.0,45.81,0
6.0,80.74,1
3.0,74.84,1
2.0,60.33,1
1.0,45.36,0
1.0,70.31,0
1.0,99.79,0
1.0,63.5,0
1.0,58.97,0
2.0,56.7,1
1.0,113.4,0
1.0,75.75,0
4.0,70.31,1
1.0,74.84,0
3.0,108.86,1
2.0,54.43,1
1.0,54.43,0
2.0,78.47,1
3.0,63.5,1
1.0,86.18,0
1.0,74.84,0
2.0,58.06,1
2.0,111.13,1
3.0,73.48,1
4.0,99.79,1
2.0,65.77,1
1.0,108.86,0
1.0,58.97,0
7.0,84.82,1
3.0,56.7,1
1.0,58.97,0
1.0,63.5,0
5.0,68.04,1
1.0,56.25,0
2.0,45.36,1
1.0,59.88,0
3.0,53.98,1
2.0,54.43,1
2.0,54.43,1
5.0,76.2,1
1.0,67.13,0
5.0,73.94,1
2.0,72.58,1
2.0,72.58,1
2.0,64.41,1
1.0,65.77,0
2.0,74.84,1
1.0,52.16,0
1.0,50.8,0
3.0,72.58,1
1.0,48.99,0
2.0,65.77,1
1.0,72.58,0
2.0,72.58,1
2.0,72.58,1
1.0,67.13,0
4.0,56.7,1
2.0,70.31,1
2.0,69.85,1
1.0,76.2,0
1.0,67.59,0
1.0,55.34,0
3.0,45.81,1
2.0,92.99,1
6.0,63.5,1
4.0,45.36,1
3.0,63.5,1
1.0,68.04,0
2.0,51.26,1
3.0,64.86,1
3.0,58.06,1
1.0,77.11,0
1.0,88.0,0
1.0,69.4,0
1.0,58.97,0
2.0,59.88,1
1.0,53.98,0
1.0,58.97,0
1.0,71.22,0
1.0,84.37,0
1.0,61.24,0
